Step,Event,Robot X,Robot Y,Heading,"Cell(0,0)","Cell(0,0)_N","Cell(0,0)_E","Cell(0,0)_S","Cell(0,0)_W","Cell(1,0)","Cell(1,0)_N","Cell(1,0)_E","Cell(1,0)_S","Cell(1,0)_W","Cell(2,0)","Cell(2,0)_N","Cell(2,0)_E","Cell(2,0)_S","Cell(2,0)_W","Cell(3,0)","Cell(3,0)_N","Cell(3,0)_E","Cell(3,0)_S","Cell(3,0)_W","Cell(0,1)","Cell(0,1)_N","Cell(0,1)_E","Cell(0,1)_S","Cell(0,1)_W","Cell(1,1)","Cell(1,1)_N","Cell(1,1)_E","Cell(1,1)_S","Cell(1,1)_W","Cell(2,1)","Cell(2,1)_N","Cell(2,1)_E","Cell(2,1)_S","Cell(2,1)_W","Cell(3,1)","Cell(3,1)_N","Cell(3,1)_E","Cell(3,1)_S","Cell(3,1)_W","Cell(0,2)","Cell(0,2)_N","Cell(0,2)_E","Cell(0,2)_S","Cell(0,2)_W","Cell(1,2)","Cell(1,2)_N","Cell(1,2)_E","Cell(1,2)_S","Cell(1,2)_W","Cell(2,2)","Cell(2,2)_N","Cell(2,2)_E","Cell(2,2)_S","Cell(2,2)_W","Cell(3,2)","Cell(3,2)_N","Cell(3,2)_E","Cell(3,2)_S","Cell(3,2)_W","Cell(0,3)","Cell(0,3)_N","Cell(0,3)_E","Cell(0,3)_S","Cell(0,3)_W","Cell(1,3)","Cell(1,3)_N","Cell(1,3)_E","Cell(1,3)_S","Cell(1,3)_W","Cell(2,3)","Cell(2,3)_N","Cell(2,3)_E","Cell(2,3)_S","Cell(2,3)_W","Cell(3,3)","Cell(3,3)_N","Cell(3,3)_E","Cell(3,3)_S","Cell(3,3)_W"
17,MOVE_TO_2_3,2,3,WEST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.05,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
17,SMART_SCAN_2_3,2,3,WEST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
18,MOVE_TO_2_2,2,2,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
18,SMART_SCAN_2_2,2,2,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
19,MOVE_TO_2_1,2,1,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
19,SMART_SCAN_2_1,2,1,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
20,MOVE_TO_2_0,2,0,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.05,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
20,SMART_SCAN_2_0,2,0,SOUTH,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.018,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
21,MOVE_TO_3_0,3,0,EAST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.018,0.1,0.1,0.982,0.982,0.5,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
21,SMART_SCAN_3_0,3,0,EAST,0.018,0.1,0.982,0.982,0.982,0.5,0.5,0.982,0.982,0.982,0.018,0.1,0.1,0.982,0.982,0.05,0.982,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.5,0.982,0.982,0.5,0.982,0.018,0.1,0.1,0.1,0.982,0.018,0.1,0.982,0.982,0.1,0.05,0.1,0.982,0.1,0.982,0.05,0.1,0.1,0.982,0.982,0.018,0.1,0.982,0.1,0.1,0.05,0.982,0.982,0.1,0.982,0.05,0.982,0.1,0.1,0.982,0.05,0.982,0.1,0.1,0.1,0.018,0.982,0.1,0.1,0.1,0.05,0.982,0.982,0.982,0.1
